	0	1	2	3	4	5	6	7	8	9	10	11
0	2788044	Способ эмалирования реактора	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2788044&TypeFile=html	Гревцев Анатолий Федорович (RU)	C23D3/00	QB4A Государственная регистрация предоставления права использования по договору	12.04.2023 РД0428424	Гревцев Анатолий Федорович (RU)	"Общество с ограниченной ответственностью ""Этилацетат"" (RU)"	лицензионный	исключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
1	2787320	Способ выявления и компенсации ошибки прицеливания ствольного оружия	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2787320&TypeFile=html	Российская Федерация, от имени которой выступает ФОНД ПЕРСПЕКТИВНЫХ ИССЛЕДОВАНИЙ (RU)	F41G3/32	QB4A Государственная регистрация предоставления права использования по договору	01.03.2023 РД0424660	Российская Федерация, от имени которой выступает Фонд перспективных исследований (RU)	"Акционерное общество ""Научно-производственное объединение ""Андроидная техника"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе
2	2787320	Способ выявления и компенсации ошибки прицеливания ствольного оружия	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2787320&TypeFile=html	Российская Федерация, от имени которой выступает ФОНД ПЕРСПЕКТИВНЫХ ИССЛЕДОВАНИЙ (RU)	F41G3/32	QB4A Государственная регистрация предоставления права использования по договору	19.04.2023 РД0429185	Российская Федерация, от имени которой выступает Фонд перспективных исследований (RU)	"Акционерное общество Научно-технический центр ""Охрана"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе
3	2784521	ПРИМЕНЕНИЕ 8-ХЛОР-1-МЕТИЛ-4,5-ДИГИДРО-6H-ПИРРОЛО[1,2-a][1,4]БЕНЗОДИАЗЕПИН-6-ОНА В КАЧЕСТВЕ АНТИБАКТЕРИАЛЬНОГО СРЕДСТВА В ОТНОШЕНИИ ГРАМПОЛОЖИТЕЛЬНЫХ МИКРООРГАНИЗМОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2784521&TypeFile=html	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" (RU)"	A61K31/5517	QB4A Государственная регистрация предоставления права использования по договору	11.10.2023 РД0446055	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" (RU)"	"Общество с ограниченной ответственностью ""Лоскон"" (RU)"	лицензионный	неисключительная лицензия на срок по 24.08.2024 на территории РФ.	нет данных об адресе
4	2784439	ПРИМЕНЕНИЕ 5-ИЗОПРОПИЛ-7-МЕТИЛ-2,3-ДИГИДРО-1H-ПИРРОЛО[1,2-d][1,4]ДИАЗЕПИН-4(5H)-ОНА В КАЧЕСТВЕ АНТИБАКТЕРИАЛЬНОГО СРЕДСТВА В ОТНОШЕНИИ ГРАМПОЛОЖИТЕЛЬНЫХ МИКРООРГАНИЗМОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2784439&TypeFile=html	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" (RU)"	A61K31/551	QB4A Государственная регистрация предоставления права использования по договору	11.10.2023 РД0446052	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" (RU)"	"Общество с ограниченной ответственностью ""Лоскон"" (RU)"	лицензионный	неисключительная лицензия на срок по 24.08.2024 на территории РФ.	нет данных об адресе
5	2788877	СПОСОБ НАПЫЛЕНИЯ АЛЮМИНИЕВОГО ПОКРЫТИЯ НА ИЗДЕЛИЯ ИЗ ОРГАНИЧЕСКОГО СТЕКЛА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2788877&TypeFile=html	Кононов Владимир Эрвинович (RU)	B05D1/06	QB4A Государственная регистрация предоставления права использования по договору	18.04.2023 РД0428958	Кононов Владимир Эрвинович (RU)	"Общество с ограниченной ответственностью ""СА Пластик"" (RU)"	лицензионный	исключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
6	2787606	Мягкий контейнер для транспортировки и хранения насыпных грузов	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2787606&TypeFile=html	Остапенко Александр Николаевич (RU),Омельченко Александр Александрович (RU),Якимчук Роман Ярославович (RU)	B65D88/16	QB4A Государственная регистрация предоставления права использования по договору	18.07.2023 РД0437937	Остапенко Александр Николаевич (RU), Омельченко Александр Александрович (RU), Якимчук Роман Ярославович (RU)	"Общество с ограниченной ответственностью ""ТЕХНОЛОГИЯ +"" (RU)"	лицензионный	неисключительная лицензия на срок действия исключительного права на территории РФ.	нет данных об адресе
7	2797032	Индукционный нагреватель текучих сред	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2797032&TypeFile=html	Бардокин Владислав Александрович (RU),Брагин Александр Николаевич (RU)	H05B6/00	QB4A Государственная регистрация предоставления права использования по договору	07.07.2023 РД0436928	Бардокин Владислав Александрович (RU), Брагин Александр Николаевич (RU)	"Общество с ограниченной ответственностью Научно-производственное предприятие ""Термические Технологии"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
8	2791704	ПРИМЕНЕНИЕ 4-(4,7-ДИМЕТОКСИ-3-ФЕНИЛБЕНЗОФУРАН-2-ИЛ)БУТАН-2-ОНА В КАЧЕСТВЕ АНТИБАКТЕРИАЛЬНОГО СРЕДСТВА В ОТНОШЕНИИ ГРАМПОЛОЖИТЕЛЬНЫХ МИКРООРГАНИЗМОВ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2791704&TypeFile=html	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" (RU)"	C07D307/80	QB4A Государственная регистрация предоставления права использования по договору	10.10.2023 РД0445967	"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский государственный национальный исследовательский университет"" (RU)"	"Общество с ограниченной ответственностью ""Лоскон"" (RU)"	лицензионный	неисключительная лицензия на срок по 24.08.2024 на территории РФ.	нет данных об адресе
9	2789269	Поддон для вибропрессования	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2789269&TypeFile=html	Костюченков Александр Александрович-старший (RU)	B28B3/00	QB4A Государственная регистрация предоставления права использования по договору	13.06.2023 РД0434242	Костюченков Александр Александрович (RU)	"Общество с ограниченной ответственностью ""ДАТПОЛИМЕР"" (RU)"	лицензионный	исключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе
