	0	1	2	3	4	5	6	7	8	9	10	11
0	217047	Оптический резонатор для регулировки и стабилизации длины волны лазерного излучения	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217047&TypeFile=html	"Общество с ограниченной ответственностью ""Международный центр квантовой оптики и квантовых технологий"" (RU)"	H01S3/139	QB9K Государственная регистрация предоставления права использования по договору	28.07.2023 РД0439141	"Общество с ограниченной ответственностью ""Международный центр квантовой оптики и квантовых технологий"" (RU)"	"Общество с ограниченной ответственностью ""Совместное предприятие ""Квантовые технологии"" (RU)"	лицензионный	неисключительная лицензия сроком на 5 лет на территории РФ.	нет данных об адресе
1	217742	ОСТАНОВОЧНЫЙ ПАВИЛЬОН	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217742&TypeFile=html	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	E04H1/12	QB9K Государственная регистрация предоставления права использования по договору	16.06.2023 РД0434620	"Общество с ограниченной ответственностью КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	"Общество с ограниченной ответственностью ""НОРГРАД"" (RU)"	лицензионный	неисключительная лицензия на срок до 22.12.2032 на территории РФ.	нет данных об адресе
2	217742	ОСТАНОВОЧНЫЙ ПАВИЛЬОН	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217742&TypeFile=html	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	E04H1/12	QB9K Государственная регистрация предоставления права использования по договору	16.06.2023 РД0434621	"Общество с ограниченной ответственностью КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	"Общество с ограниченной ответственностью ""МЕТАЛЛВЕЛД"" (RU)"	лицензионный	неисключительная лицензия на срок до 22.12.2032 на территории РФ.	нет данных об адресе
3	217742	ОСТАНОВОЧНЫЙ ПАВИЛЬОН	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217742&TypeFile=html	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	E04H1/12	QB9K Государственная регистрация предоставления права использования по договору	16.06.2023 РД0434622	"Общество с ограниченной ответственностью КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	"Общество с ограниченной ответственностью ""ЭНЭФ ГРУПП"" (RU)"	лицензионный	неисключительная лицензия на срок до 22.12.2032 на территории РФ.	нет данных об адресе
4	217742	ОСТАНОВОЧНЫЙ ПАВИЛЬОН	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217742&TypeFile=html	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	E04H1/12	QB9K Государственная регистрация предоставления права использования по договору	16.06.2023 РД0434623	"Общество с ограниченной ответственностью КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	"Общество с ограниченной ответственностью ""ЭНЕРГОСЕРВИС"" (RU)"	лицензионный	неисключительная лицензия на срок до 22.12.2032 на территории РФ.	нет данных об адресе
5	217742	ОСТАНОВОЧНЫЙ ПАВИЛЬОН	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217742&TypeFile=html	"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	E04H1/12	QB9K Государственная регистрация предоставления права использования по договору	16.06.2023 РД0434624	"Общество с ограниченной ответственностью КОНСТРУКТОРСКОЕ БЮРО ""НОРЛАБ"" (RU)"	"Общество с ограниченной ответственностью ТОРГОВЫЙ ДОМ ""НОРГРУПП"" (RU)"	лицензионный	неисключительная лицензия на срок до 22.12.2032 на территории РФ.	нет данных об адресе
6	216787	РОТОРНО-ПУЛЬСАЦИОННЫЙ ГОМОГЕНИЗАТОР ДЛЯ ИЗГОТОВЛЕНИЯ ОБРАТНЫХ ВОДОМАСЛЯНЫХ ЭМУЛЬСИЙ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=216787&TypeFile=html	СУДАКОВ-СМОЛЕНСКИЙ Максим Николаевич (RU)	B01F23/40	QB9K Государственная регистрация предоставления права использования по договору	18.04.2023 РД0428970	Судаков-Смоленский Максим Николаевич (RU)	"Общество с ограниченной ответственностью ""ПромВВ"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе
7	217642	Трубчатая оболочка для колбасных изделий	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=217642&TypeFile=html	Погосян Роберт Акопович (RU)	A22C13/00	QB9K Государственная регистрация предоставления права использования по договору	07.08.2023 РД0439687	Погосян Роберт Акопович (RU)	"Общество с ограниченной ответственностью ""РОСНЕТ"" (RU)"	лицензионный	исключительная лицензия на срок действия исключительного права на территории РФ.	нет данных об адресе
8	216405	Вагон-хоппер	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=216405&TypeFile=html	"Акционерное общество Алтайского вагоностроения (АО ""Алтайвагон"") (RU)"	B61D7/00	PC9K Государственная регистрация отчуждения исключительного права по договору	13.06.2023 РД0434245	Акционерное общество Алтайского вагоностроения (RU)	"Общество с ограниченной ответственностью ""Сибирское патентное бюро"" (RU)"	Договор отчуждения	нет данных об условиях	"650000, г. Кемерово, ул. Весенняя, д. 5, ООО ""Сибирское Патентное Бюро"""
9	216405	Вагон-хоппер	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPM&DocNumber=216405&TypeFile=html	"Акционерное общество Алтайского вагоностроения (АО ""Алтайвагон"") (RU)"	B61D7/00	QB9K Государственная регистрация предоставления права использования по договору	15.09.2023 РД0443540	"Общество с ограниченной ответственностью ""Сибирское патентное бюро"" (RU)"	Акционерное общество Алтайского вагоностроения (RU)	лицензионный	неисключительная лицензия сроком по 02.12.2041 г. на территории РФ.	нет данных об адресе
