	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
0	2439602	УСТРОЙСТВО И СПОСОБ ОПРЕДЕЛЕНИЯ ВОДОЛАЗОМ НАПРАВЛЕНИЯ НА ИСТОЧНИК ЗВУКОВОГО СИГНАЛА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2439602&TypeFile=html	Российская Федерация, от имени которой выступает государственный заказчик - Министерство промышленности и торговли Российской Федерации (Минпромторг) (RU)	G01S3/802	PC4A Государственная регистрация договора об отчуждении исключительного права	09.03.2022 РД0390103	Российская Федерация, от имени которой выступает Министерство промышленности и торговли Российской Федерации (RU)	"Акционерное общество ""Концерн Океанприбор"" (RU)"	Договор отчуждения	нет данных об условиях	"197376, Санкт-Петербург, Чкаловский пр., 46, АО ""Концерн Океанприбор"""																																																																																		
1	2688231	Способ лечения лептотрихоза ротовой полости	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2688231&TypeFile=html	"федеральное государственное бюджетное образовательное учреждение высшего образования ""Пермский государственный медицинский университет имени академика Е.А. Вагнера"" Министерства здравоохранения Российской Федерации (RU)"	A61K31/4164	QB4A Государственная регистрация предоставления права использования по договору	28.05.2020 РД0333671	"федеральное государственное бюджетное образовательное учреждение высшего образования ""Пермский государственный медицинский университет имени академика Е.А. Вагнера"" Министерства здравоохранения Российской Федерации (RU)"	"Общество с ограниченной ответственностью ""ПрайМ-Стоматология"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории: г. Рязань.	нет данных об адресе																																																																																		
2	2688426	Система для организации дорожного движения	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2688426&TypeFile=html	Ли Роберт Владимирович (RU)	G08G1/056	QB4A Государственная регистрация предоставления права использования по договору	26.08.2020 РД0339356	Ли Роберт Владимирович (RU)	"Общество с ограниченной ответственностью ""МНОГООТРАСЛЕВОЕ ПРЕДПРИЯТИЕ КОМПЛЕКС 1"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
3	2688426	Система для организации дорожного движения	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2688426&TypeFile=html	Ли Роберт Владимирович (RU)	G08G1/056	QB4A Государственная регистрация предоставления права использования по договору	15.09.2022 РД0408375	Ли Роберт Владимирович (RU)	"Общество с ограниченной ответственностью ""Многоотраслевое предприятие КОМПЛЕКС 1"" (RU)"	лицензионный	исключительная лицензия на срок до 01.09.2025 на территории РФ.	нет данных об адресе																																																																																		
4	2691409	Способ получения термостойких ароматических полиэфирэфир- и сополиэфирэфиркетонов с улучшенными физико-механическими характеристиками	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2691409&TypeFile=html	Российская Федерация, от имени которой выступает ФОНД ПЕРСПЕКТИВНЫХ ИССЛЕДОВАНИЙ (RU)	B01J13/02	QB4A Государственная регистрация предоставления права использования по договору	11.02.2021 РД0354630	"Российская Федерация, от имени которой выступает Государственная корпорация по космической деятельности ""Роскосмос"" (RU)"	"Акционерное общество ""Композит"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
5	2691409	Способ получения термостойких ароматических полиэфирэфир- и сополиэфирэфиркетонов с улучшенными физико-механическими характеристиками	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2691409&TypeFile=html	Российская Федерация, от имени которой выступает ФОНД ПЕРСПЕКТИВНЫХ ИССЛЕДОВАНИЙ (RU)	B01J13/02	QB4A Государственная регистрация предоставления права использования по договору	18.05.2022 РД0397210	"Российская Федерация, от имени которой выступает Государственная корпорация по космической деятельности ""Роскосмос"" (RU)"	"Акционерное общество ""Научно-производственное объединение ""Техномаш"" имени С.А. Афанасьева"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
6	2692686	Способ получения 4-аллил-2-метоксифенокси-бета-карбоксиэтенилфенокси-циклотрифосфазенов	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2692686&TypeFile=html	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский химико-технологический университет имени Д.И. Менделеева"" (РХТУ им. Д.И. Менделеева) (RU)"	C07F9/659	QB4A Государственная регистрация предоставления права использования по договору	14.09.2020 РД0340602	"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский химико-технологический университет имени Д.И. Менделеева"" (RU)"	Акционерное общество «Опытно-экспериментальный завод «ВладМиВа» (RU)	лицензионный	исключительная лицензия сроком на 5 лет на территории РФ.	нет данных об адресе																																																																																		
7	2693444	СПОСОБ ОТРАБОТКИ ПРАКТИЧЕСКИХ НАВЫКОВ ПО ОКАЗАНИЮ ПЕРВОЙ МЕДИЦИНСКОЙ ПОМОЩИ И ДИАГНОСТИКЕ РАЗЛИЧНЫХ ВИДОВ ПАТОЛОГИЙ СЕРДЦА С ПОМОЩЬЮ МЕДИЦИНСКОГО ТРЕНАЖЕРА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2693444&TypeFile=html	"Общество с ограниченной ответственностью ""Эйдос - Медицина"" (RU)"	G09B23/28	QB4A Государственная регистрация залога (последующего залога) исключительного права по договору	11.02.2021 РД0354587	"Общество с ограниченной ответственностью ""Эйдос - Медицина"" (RU)"	"Публичное акционерное общество ""АК БАРС"" БАНК (RU)"	о залоге исключительного права		no_data																																																																																		
8	2693445	СПОСОБ ОТРАБОТКИ ПРАКТИЧЕСКИХ НАВЫКОВ АУСКУЛЬТАЦИИ С ПОМОЩЬЮ МЕДИЦИНСКОГО ТРЕНАЖЕРА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2693445&TypeFile=html	"Общество с ограниченной ответственностью ""Эйдос - Медицина"" (RU)"	G09B23/28	QB4A Государственная регистрация залога (последующего залога) исключительного права по договору	11.02.2021 РД0354587	"Общество с ограниченной ответственностью ""Эйдос - Медицина"" (RU)"	"Публичное акционерное общество ""АК БАРС"" БАНК (RU)"	о залоге исключительного права		no_data																																																																																		
9	2693446	СПОСОБ ОТРАБОТКИ ПРАКТИЧЕСКИХ НАВЫКОВ ПО ОКАЗАНИЮ ПЕРВОЙ МЕДИЦИНСКОЙ ПОМОЩИ И АУСКУЛЬТАЦИИ С ПОМОЩЬЮ МЕДИЦИНСКОГО ТРЕНАЖЕРА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2693446&TypeFile=html	"Общество с ограниченной ответственностью ""Эйдос - Медицина"" (RU)"	G09B23/28	QB4A Государственная регистрация залога (последующего залога) исключительного права по договору	11.02.2021 РД0354587	"Общество с ограниченной ответственностью ""Эйдос - Медицина"" (RU)"	"Публичное акционерное общество ""АК БАРС"" БАНК (RU)"	о залоге исключительного права		no_data																																																																																		
