	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
0	2768988	Авиационная интегрированная электроэнергетическая установка	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2768988&TypeFile=html	Российская Федерация, от имени которой выступает ФОНД ПЕРСПЕКТИВНЫХ ИССЛЕДОВАНИЙ (RU)	B64D33/08	QB4A Государственная регистрация предоставления права использования по договору	09.06.2022 РД0399889	Российская Федерация, от имени которой выступает Фонд перспективных исследований (RU)	"Федеральное автономное учреждение ""Центральный институт авиационного моторостроения имени П.И. Баранова"" (RU)"	лицензионный	неисключительная лицензия сроком на 3 года на территории РФ.	нет данных об адресе																																																																																		
1	2772134	АВИАЦИОННОЕ УСТРОЙСТВО ДЛЯ ВНЕШНЕЙ ПОДВЕСКИ ГРУЗА	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2772134&TypeFile=html	"Акционерное общество ""Национальный центр вертолетостроения им. М.Л. Миля и Н.И. Камова"" (АО ""НЦВ Миль и Камов"") (RU)"	B64D1/22	QZ4A Внесение изменений в зарегистрированный договор	13.02.2019 РД0286053	"Акционерное общество ""Национальный центр вертолетостроения им. М.Л. Миля и Н.И. Камова"" (RU)"	"Акционерное общество ""Улан-Удэнский авиационный завод"" (RU)"	лицензионный   Дата внесения записи в Государственный реестр: 24.08.2023         Дата публикации и номер бюллетеня: 24.08.2023 Бюл. №24	no_data	no_data																																																																																		
2	2775933	АКВАВЕНДИНГОВЫЙ АППАРАТ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2775933&TypeFile=html	Вяткин Вячеслав Владимирович (RU)	G07F13/00	QB4A Государственная регистрация предоставления права использования по договору	18.04.2023 РД0428961	Вяткин Вячеслав Владимирович (RU)	"Общество с ограниченной ответственностью ""Компания Живая вода"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
3	2775933	АКВАВЕНДИНГОВЫЙ АППАРАТ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2775933&TypeFile=html	Вяткин Вячеслав Владимирович (RU)	G07F13/00	QB4A Государственная регистрация предоставления права использования по договору	18.04.2023 РД0428963	Вяткин Вячеслав Владимирович (RU)	"Общество с ограниченной ответственностью ""Элив ватер экспорт"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
4	2784873	Анкерная тяга	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2784873&TypeFile=html	"Публичное акционерное общество ""Северсталь"" (ПАО ""Северсталь"") (RU)"	E02D5/74	QB4A Государственная регистрация предоставления права использования по договору	24.05.2023 РД0432527	"Публичное акционерное общество ""Северсталь"" (RU)"	"Общество с ограниченной ответственностью ""Северсталь подъемные технологии"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
5	2784757	БАЗОВОЕ УСТРОЙСТВО АВТОМАТИЗАЦИИ ВОДОСНАБЖЕНИЯ	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2784757&TypeFile=html	Языков Андрей Юрьевич (RU)	E03B11/00	QB4A Государственная регистрация предоставления права использования по договору	07.06.2023 РД0433911	Языков Андрей Юрьевич (RU)	"Общество с ограниченной ответственностью ""ДЖИЛЕКС"" (RU)"	лицензионный	неисключительная лицензия на срок действия патента на территории РФ.	нет данных об адресе																																																																																		
6	2775038	Беспилотный летательный аппарат, предназначенный для диагностики, технического обслуживания и ремонта высоковольтной воздушной линии электропередачи, и способ выравнивания потенциалов при посадке беспилотного летательного аппарата на находящуюся под напряжением высоковольтную воздушную линию электропередачи	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2775038&TypeFile=html	"Общество с ограниченной ответственностью ""Лаборатория будущего"" (RU)"	B64C39/02	QB4A Государственная регистрация залога (последующего залога) исключительного права по договору	08.06.2023 РД0434115	"Общество с ограниченной ответственностью ""Лаборатория будущего"" (RU)"	Фонд поддержки проекта Национальной технологической инициативы (RU)	о залоге исключительного права		no_data																																																																																		
7	2772412	Биополимерный буровой раствор	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2772412&TypeFile=html	"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Инжиниринг"" (ООО ""ЛУКОЙЛ-Инжиниринг"") (RU)"	C09K8/12	QB4A Государственная регистрация предоставления права использования по договору	12.09.2022 РД0407859	"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Инжиниринг"" (RU)"	"Общество с ограниченной ответственностью ""ИСК ""ПетроИнжиниринг"" (RU)"	лицензионный	неисключительная лицензия на срок до 27.06.2041 на территории РФ	нет данных об адресе																																																																																		
8	2772412	Биополимерный буровой раствор	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2772412&TypeFile=html	"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Инжиниринг"" (ООО ""ЛУКОЙЛ-Инжиниринг"") (RU)"	C09K8/12	QB4A Государственная регистрация предоставления права использования по договору	10.02.2023 РД0422134	"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Инжиниринг"" (RU)"	"Общество с ограниченной ответственностью ""КамаХимЭкс"" (RU)"	лицензионный	неисключительная лицензия на срок по 05.05.2042 на территории РФ.	нет данных об адресе																																																																																		
9	2772412	Биополимерный буровой раствор	https://www1.fips.ru//registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2772412&TypeFile=html	"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Инжиниринг"" (ООО ""ЛУКОЙЛ-Инжиниринг"") (RU)"	C09K8/12	QZ4A Внесение изменений в зарегистрированный договор	31.03.2017 РД0219933	"Общество с ограниченной ответственностью ""ЛУКОЙЛ-Инжиниринг"" (RU)"	"Общество с ограниченной ответственностью ""Пермская сервисная компания ""Буртехнологии"" (RU)"	лицензионный   Дата внесения записи в Государственный реестр: 27.02.2023         Дата публикации и номер бюллетеня: 27.02.2023 Бюл. №6	no_data	no_data																																																																																		
